Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Михалюк,Опанас,Степанович,Чоловік,1964-05-31,Шериф,селище Дубляни,"парк Пілотна, буд. 23, Лохвиця, 79611",+380 61 550 45 09,wprymachenko@example.com
Джус,Богдан,Андрійович,Чоловік,1971-08-22,Промисловець,село Харцизьк,"провулок Пассіонарії, буд. 0, Гнівань, 85720",+380 81 324-79-41,zabarnaazar@example.com
Голобородько,Тимофій,Максимович,Чоловік,2004-02-03,Головний меркшейдер,селище Південне,"набережна Рульовий, буд. 6, Залізне, 19633",152-48-71,pylyptverdokhlib@example.net
Заїка,Арсен,Петрович,Чоловік,2004-04-21,Інженер,селище Авдіївка,"вулиця 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 297 кв. 34, Олександрівськ, 94463",+380 60 398 86 46,viktor71@example.net
Онищенко,Панас,Сергійович,Чоловік,1986-03-20,Водій,селище Кагарлик,"проспект узвіз Віталія Блажка, буд. 87 кв. 2, Білогірськ, 12618",008 762 03 80,adaiaremenko@example.net
Демиденко,Борис,Володимирович,Чоловік,1986-06-04,Кушнір,місто Ялта,"провулок Юннатів 1-й, буд. 63, Хоростків, 27661",+380 (19) 133-71-46,demyd89@example.org
Баранник,Олекса,Юрійович,Чоловік,1967-10-30,Пілот,селище Герца,"вулиця Бахмутська, буд. 256, Новий Буг, 65787",+380 90 594 22 28,xhodunok@example.net
Чорновіл,Костянтин,Дмитрович,Чоловік,1938-12-20,М'ясник,хутір Новогродівка,"сквер Виноградна 2-га, буд. 1, Чорноморськ, 56446",086 277-64-94,oprymachenko@example.com
Радченко,Теодор,Юрійович,Чоловік,1994-04-05,Кушнір,селище Федорівка,"парк Бугаївська, буд. 714, Київ, 75819",000 587-90-34,andriifranchuk@example.org
Опанасенко,Віталій,Степанович,Чоловік,1974-05-31,Фольклорист,село Черкаси,"шосе Пилипа Орлика, буд. 30, Новий Калинів, 54915",+380 (28) 589-28-59,kabanenkoklavdiia@example.com
Дробаха,Зиновій,Романович,Чоловік,1972-01-09,Драматург,селище Новоукраїнка,"узвіз Дзвінка, буд. 48 кв. 03, Городок, 11682",251 93 32,iurchukstefan@example.org
Гавриш,Устим,Миколайович,Чоловік,1990-11-16,Складальник,місто Генічеськ,"узвіз Софіївська, буд. 6 кв. 97, Зоринськ, 46222",+380 (92) 146-17-13,zakhar88@example.org
Щириця,Левко,Арсенійович,Чоловік,1961-12-25,Стоматолог,хутір Ужгород,"вулиця Олександра Кошиця, буд. 57, Черкаси, 29805",+380 80 532-58-16,sviatoslavkozak@example.org
Чубай,Аарон,Іванович,Чоловік,1956-06-04,Ґрунтознавець,місто Коростень,"проспект Бориса Нечерди, буд. 0 кв. 5, Лубни, 73416",016 449 37 41,markoartym@example.org
Затула,Мартин,Петрович,Чоловік,1939-06-09,Кінокритик,селище Тячів,"вулиця Ватманський, буд. 92, Міусинськ, 44340",926-53-67,chekaliukanita@example.net
Цюпа,Назар,Павлович,Чоловік,1991-07-26,Музичний редактор,хутір Дергачі,"провулок Ювілейний 2-й, буд. 0, Броди, 72435",035 362 71 67,chumachenkoboryslav@example.net
Євдокименко,Леонтій,Богданович,Чоловік,1952-11-08,Доцент,селище Ізюм,"шосе Івана Вазова, буд. 5 кв. 534, Славута, 66716",+380 (03) 560-04-47,solomiia91@example.com
Деркач,Леопольд,Тимофійович,Чоловік,1939-02-15,Бухгалтер,місто Бахмут,"сквер Дальня, буд. 1 кв. 773, Хрестівка, 57416",965-12-79,anzhela43@example.net
Овсієнко,Яків,Павлович,Чоловік,1965-07-16,Модель,місто Довжанськ,"сквер Лінійний, буд. 8, Кипуче, 50116",066 007 99 02,erikahavrylets@example.com
Андрейко,Андрій,Олександрович,Чоловік,1954-11-05,Фармацевт,хутір Привілля,"площа Рачкова, буд. 308 кв. 296, Луганськ, 41512",+380 87 734-86-54,shchyrytsiakamilla@example.org
Ніколюк,Семен,Миколайович,Чоловік,1972-01-31,Фармацевт,місто Вінниця,"провулок Кінбурнський, буд. 138 кв. 44, Рогатин, 99576",515-50-41,verhunarsen@example.com
Луценко,Костянтин,Петрович,Чоловік,1949-08-25,Хореограф,місто Біляївка,"провулок Валіховський, буд. 82 кв. 8, Городок, 44315",+380 65 555-58-06,hordiibaranets@example.net
Жук,Орхип,Максимович,Чоловік,1983-10-09,Економіст,хутір Золотоноша,"набережна Азовський, буд. 28, Вишгород, 92473",011 442 86 73,herman04@example.net
Лагода,Давид,Григорович,Чоловік,2008-10-26,Няня,хутір Южне,"проспект Студентський 5-й, буд. 7 кв. 78, Жданівка, 11631",568-11-82,malykmarta@example.org
Павличенко,Прохір,Степанович,Чоловік,2004-05-05,Модельєр,селище Щастя,"вулиця Вітчизняна, буд. 543 кв. 0, Андрушівка, 72935",+380 08 496 58 45,zatulakhrystyna@example.net
Худяк,Станіслав,Тимофійович,Чоловік,1982-07-14,Кінолог,село Яготин,"сквер Шостої 1-й, буд. 117, Калинівка, 57131",+380 82 076 30 69,viakymchuk@example.net
Романець,Микита,Богданович,Чоловік,1957-12-19,Історик,місто Родинське,"набережна Шостої 1-й, буд. 9, Сокологірськ, 13762",+380 98 793-28-32,qtverdokhlib@example.org
Бабенко,Єлисей,Максимович,Чоловік,1966-06-29,Акушер,хутір Лебедин,"шосе Гвоздична, буд. 98 кв. 77, Долинська, 84738",091 842 82 08,mykyta97@example.org
Терещук,Володимир,Тимофійович,Чоловік,1941-12-01,Флорист,місто Нове Давидково,"набережна Чехівського, буд. 4 кв. 3, Слов'янськ, 96645",+380 32 652-15-03,rpetliura@example.org
Гаврилів,Мирон,Богданович,Чоловік,1991-08-04,Реабілітолог,місто Гребінка,"сквер Військовий узвіз, буд. 9, Шептицький, 73660",+380 26 972-68-43,bhydenkoillia@example.com
Медведенко,Хома,Олександрович,Чоловік,1982-03-12,Складальник,місто Бровари,"сквер Сім'ї Глодан, буд. 66, Роздільна, 08238",059 082-60-57,zakhar41@example.org
Остапчук,Дмитро,Сергійович,Чоловік,1995-08-31,Палеонтолог,місто Часів Яр,"вулиця Колекційна, буд. 7 кв. 69, Гадяч, 66465",+380 46 498 03 95,obebeshko@example.com
Дашенко,Пилип,Петрович,Чоловік,2000-04-25,Реабілітолог,хутір Ізяслав,"набережна Краснослобідський, буд. 5, Черкаси, 87703",023 775-02-37,mykhailokolesnychenko@example.net
Швайка,Лесь,Петрович,Чоловік,1950-07-03,Бібліотекар,село Долина,"вулиця Лузанівка, буд. 8 кв. 57, Сколе, 62682",+380 76 631-89-57,frants66@example.org
Аврамчук,Опанас,Миколайович,Чоловік,1978-11-22,Епідеміолог,хутір Ялта,"площа Матроський узвіз, буд. 63, Дебальцеве, 45874",+380 63 757-43-88,olena64@example.net
Тягнибок,Валерій,Тимофійович,Чоловік,1999-08-05,Актор,селище Курахове,"набережна Зелена гірка, буд. 84 кв. 767, Глиняни, 24711",594 93 67,vlazarenko@example.net
Абрамчук,Опанас,Васильович,Чоловік,1994-06-09,Публіцист,село Винники,"узвіз Гонтаренко, буд. 743 кв. 90, Таврійськ, 69441",089 684 25 79,mhavrysh@example.net
Петлюра,Леонтій,Євгенович,Чоловік,1943-08-28,Актор,місто Суходільськ,"провулок Пересипська 1-ша, буд. 935 кв. 89, Переяслав, 24605",423-83-02,khoma99@example.net
Івасюк,Гаврило,Максимович,Чоловік,1967-12-05,Електромонтажник,селище Харцизьк,"проспект Проектований 4-й, буд. 917 кв. 1, Новоукраїнка, 10595",+380 (16) 825-92-69,kostiantyn81@example.com
Євтушенко,Валентин,Дмитрович,Чоловік,1957-08-05,Продюсер,хутір Судак,"набережна Авангардна, буд. 161, Нововолинськ, 47688",067 898-05-72,stefanabramenko@example.com
